model,R2,NSE,NNSE,RMSE,NRMSE,ZNRMSE,MAE,MAPE,PPTS(5),LPTS(5)
VIF-MLR(1986~2015),0.965,0.899,0.908,116.029,0.318,0.056,78.917,13.68,0.084,0.013
VIF-XGB(1986~2015),0.967,0.899,0.908,116.151,0.318,0.056,79.355,13.576,0.086,0.012
VIF-LSTM(1986~2015),0.962,0.901,0.91,114.962,0.315,0.058,77.442,13.558,0.067,0.017
VIF-LSTM-MLR(1986~2015),0.962,0.901,0.91,115.089,0.315,0.058,77.833,13.649,0.067,0.014
VIF-MLR(1986~2000),0.994,0.985,0.985,48.037,0.122,0.023,37.827,8.381,0.042,0.019
VIF-XGB(1986~2000),0.994,0.983,0.983,51.44,0.13,0.025,42.145,8.895,0.045,0.015
VIF-LSTM(1986~2000),0.993,0.986,0.986,46.358,0.117,0.023,35.164,8.087,0.026,0.024
VIF-LSTM-MLR(1986~2000),0.994,0.986,0.986,46.593,0.118,0.023,35.559,8.165,0.026,0.019
VIF-MLR(2001~2015),0.938,0.777,0.818,156.9,0.472,0.085,120.007,18.979,0.141,0.011
VIF-XGB(2001~2015),0.942,0.78,0.82,156.0,0.469,0.085,116.564,18.257,0.145,0.006
VIF-LSTM(2001~2015),0.935,0.78,0.82,155.832,0.469,0.087,119.72,19.029,0.12,0.011
VIF-LSTM-MLR(2001~2015),0.935,0.78,0.82,155.949,0.469,0.087,120.107,19.133,0.12,0.011
