model,R2,NSE,NNSE,RMSE,NRMSE,ZNRMSE,MAE,MAPE,PPTS(5),LPTS(5)
VIF-MLR(1986~2015),0.958,0.893,0.903,126.805,0.328,0.059,95.652,16.048,0.064,0.032
VIF-XGB(1986~2015),0.961,0.896,0.905,124.983,0.323,0.059,91.231,15.531,0.058,0.022
VIF-LSTM(1986~2015),0.954,0.87,0.885,139.47,0.361,0.067,104.388,18.335,0.049,0.02
VIF-LSTM-MLR(1986~2015),0.953,0.875,0.889,136.721,0.353,0.066,101.13,17.55,0.049,0.028
VIF-MLR(1986~2000),0.993,0.977,0.977,62.716,0.153,0.029,50.94,11.219,0.044,0.034
VIF-XGB(1986~2000),0.995,0.986,0.986,49.41,0.12,0.023,40.827,9.048,0.033,0.027
VIF-LSTM(1986~2000),0.992,0.984,0.984,52.631,0.128,0.025,42.96,9.985,0.028,0.02
VIF-LSTM-MLR(1986~2000),0.992,0.984,0.984,52.17,0.127,0.025,41.928,10.052,0.028,0.03
VIF-MLR(2001~2015),0.938,0.776,0.817,168.005,0.473,0.09,140.363,20.877,0.095,0.024
VIF-XGB(2001~2015),0.943,0.771,0.814,169.706,0.478,0.093,141.634,22.014,0.095,0.027
VIF-LSTM(2001~2015),0.934,0.713,0.777,190.089,0.536,0.106,165.816,26.686,0.081,0.041
VIF-LSTM-MLR(2001~2015),0.932,0.725,0.784,186.182,0.525,0.104,160.333,25.048,0.082,0.03
