date,flow,E-BiLSTM
1961-01-31,173.01373954599762,156.41869
1961-02-28,167.989417989418,163.36832
1961-03-31,241.0020908004779,180.2055
1961-04-30,476.8518518518519,485.2163
1961-05-31,673.9097968936678,515.46545
1961-06-30,834.104938271605,731.6504
1961-07-31,1699.895459976105,900.32196
1961-08-31,1099.910394265233,897.2251
1961-09-30,1079.861111111111,928.325
1961-10-31,1310.110513739546,1062.4507
1961-11-30,755.0154320987655,655.4532
1961-12-31,286.9997013142174,308.06235
1962-01-31,196.01254480286727,197.48885
1962-02-28,192.00562169312167,223.17863
1962-03-31,205.01045400238948,223.43098
1962-04-30,398.1481481481481,436.36154
1962-05-31,576.836917562724,586.4409
1962-06-30,1140.0462962962963,832.57
1962-07-31,1490.068697729988,1286.2433
1962-08-31,1239.9193548387098,1173.814
1962-09-30,694.8302469135804,981.7482
1962-10-31,732.1535244922342,1007.75934
1962-11-30,456.0185185185185,650.78876
1962-12-31,214.00836320191164,314.93924
1963-01-31,141.98775388291517,186.70973
1963-02-28,137.97949735449737,187.59807
1963-03-31,212.320788530466,257.6831
1963-04-30,283.9891975308642,344.85635
1963-05-31,467.8166069295101,455.23474
1963-06-30,675.1543209876543,731.1685
1963-07-31,1519.937275985663,1409.7858
1963-08-31,1199.9701314217443,1349.919
1963-09-30,2219.9074074074074,1864.0087
1963-10-31,1630.077658303465,1460.686
1963-11-30,574.8456790123457,539.42554
1963-12-31,266.9877538829152,161.4908
1964-01-31,202.99432497013143,155.68033
1964-02-29,191.01213282247764,195.9101
1964-03-31,251.00806451612905,187.66002
1964-04-30,405.0925925925926,329.2576
1964-05-31,585.0507765830347,455.32095
1964-06-30,623.8425925925927,697.64703
1964-07-31,1810.0358422939066,2042.736
1964-08-31,1410.1702508960575,1410.6843
1964-09-30,1410.1080246913575,1447.3555
1964-10-31,1249.9999999999998,1534.8691
1964-11-30,584.8765432098766,808.30646
1964-12-31,275.01493428912784,398.01898
1965-01-31,197.99133811230587,219.1473
1965-02-28,207.010582010582,182.1946
1965-03-31,227.00119474313024,207.09627
1965-04-30,349.99999999999994,382.0784
1965-05-31,586.9175627240144,524.6466
1965-06-30,866.1265432098766,949.6759
1965-07-31,1500.1493428912784,1764.009
1965-08-31,794.1308243727599,1121.5214
