date,flow,R-BiLSTM
1961-01-31,173.01373954599762,182.03116
1961-02-28,167.989417989418,178.98114
1961-03-31,241.0020908004779,232.07797
1961-04-30,476.8518518518519,429.6844
1961-05-31,673.9097968936678,608.9731
1961-06-30,834.104938271605,771.04364
1961-07-31,1699.895459976105,1624.6748
1961-08-31,1099.910394265233,1130.9625
1961-09-30,1079.861111111111,1036.0896
1961-10-31,1310.110513739546,1268.0737
1961-11-30,755.0154320987655,707.6994
1961-12-31,286.9997013142174,284.56705
1962-01-31,196.01254480286727,197.20311
1962-02-28,192.00562169312167,195.05223
1962-03-31,205.01045400238948,215.26317
1962-04-30,398.1481481481481,377.25336
1962-05-31,576.836917562724,556.629
1962-06-30,1140.0462962962963,1022.11017
1962-07-31,1490.068697729988,1384.4377
1962-08-31,1239.9193548387098,1110.3572
1962-09-30,694.8302469135804,666.6544
1962-10-31,732.1535244922342,653.4006
1962-11-30,456.0185185185185,432.63654
1962-12-31,214.00836320191164,221.13652
1963-01-31,141.98775388291517,159.07526
1963-02-28,137.97949735449737,156.31673
1963-03-31,212.320788530466,195.16583
1963-04-30,283.9891975308642,277.27954
1963-05-31,467.8166069295101,436.6708
1963-06-30,675.1543209876543,647.8748
1963-07-31,1519.937275985663,1485.6672
1963-08-31,1199.9701314217443,1178.4265
1963-09-30,2219.9074074074074,2137.7683
1963-10-31,1630.077658303465,1537.4354
1963-11-30,574.8456790123457,589.9228
1963-12-31,266.9877538829152,268.4562
1964-01-31,202.99432497013143,204.18242
1964-02-29,191.01213282247764,197.25038
1964-03-31,251.00806451612905,244.00209
1964-04-30,405.0925925925926,384.06006
1964-05-31,585.0507765830347,547.226
1964-06-30,623.8425925925927,586.24884
1964-07-31,1810.0358422939066,1770.5192
1964-08-31,1410.1702508960575,1318.2462
1964-09-30,1410.1080246913575,1349.3329
1964-10-31,1249.9999999999998,1180.6179
1964-11-30,584.8765432098766,564.4874
1964-12-31,275.01493428912784,266.8435
1965-01-31,197.99133811230587,196.78035
1965-02-28,207.010582010582,200.83846
1965-03-31,227.00119474313024,223.64014
1965-04-30,349.99999999999994,336.72137
1965-05-31,586.9175627240144,548.7391
1965-06-30,866.1265432098766,803.28
1965-07-31,1500.1493428912784,1430.1848
1965-08-31,794.1308243727599,776.70764
1965-09-30,996.141975308642,925.1937
1965-10-31,823.9994026284348,792.0168
1965-11-30,417.0524691358025,396.79694
1965-12-31,213.0002986857825,199.26227
1966-01-31,173.98446833930706,183.29869
1966-02-28,166.9973544973545,181.18544
1966-03-31,227.00119474313024,230.06126
1966-04-30,310.9953703703704,303.4951
1966-05-31,368.0182198327359,359.9962
1966-06-30,447.91666666666674,438.28525
1966-07-31,1049.8805256869773,1030.5206
1966-08-31,1749.9253285543605,1683.7991
1966-09-30,2010.030864197531,1975.2236
1966-10-31,1440.0388291517324,1358.7874
1966-11-30,601.8518518518518,603.1511
1966-12-31,285.9916367980884,286.04184
1967-01-31,206.0185185185185,211.79413
1967-02-28,192.9976851851852,199.77765
1967-03-31,249.7759856630824,249.98587
1967-04-30,347.9938271604938,349.73993
1967-05-31,1109.9910394265232,1034.2272
1967-06-30,1170.138888888889,1129.4739
1967-07-31,1969.8327359617683,1963.2748
1967-08-31,1649.8655913978494,1577.1592
1967-09-30,2359.953703703704,2334.8323
1967-10-31,1540.0985663082438,1537.5662
1967-11-30,812.1141975308642,746.52997
1967-12-31,353.00925925925924,332.17957
1968-01-31,255.0029868578256,244.08679
1968-02-29,229.00702426564496,225.86244
1968-03-31,307.0116487455198,290.8617
1968-04-30,500.0,471.14746
1968-05-31,1189.889486260454,1120.0101
1968-06-30,1160.108024691358,1119.5503
1968-07-31,1419.8775388291515,1292.4098
1968-08-31,974.8357228195937,931.8491
1968-09-30,2040.123456790124,1989.9355
1968-10-31,1220.131421744325,1177.7194
1968-11-30,562.8858024691358,525.81824
1968-12-31,315.00149342891274,280.39566
1969-01-31,234.9910394265233,219.82533
1969-02-28,209.98677248677245,205.86407
1969-03-31,252.9868578255675,248.19542
1969-04-30,331.01851851851853,319.73767
1969-05-31,510.0059737156511,464.10437
1969-06-30,650.0771604938273,623.7051
1969-07-31,1130.152329749104,1060.7952
1969-08-31,793.0107526881719,769.8908
1969-09-30,709.104938271605,705.28015
1969-10-31,841.173835125448,764.6458
1969-11-30,381.0185185185185,393.86618
1969-12-31,190.0014934289128,197.95187
1970-01-31,147.9988052568698,159.07632
1970-02-28,145.99867724867724,158.96776
1970-03-31,188.9934289127837,198.42432
1970-04-30,367.0138888888889,345.21362
1970-05-31,558.1690561529272,524.42114
1970-06-30,672.067901234568,654.7327
1970-07-31,726.926523297491,723.0583
1970-08-31,1180.1821983273596,1079.6471
1970-09-30,569.0586419753087,592.46564
1970-10-31,614.1726403823178,559.34406
1970-11-30,348.9969135802469,354.90927
1970-12-31,177.00866188769413,196.82547
1971-01-31,139.00089605734766,156.36256
1971-02-28,135.0033068783069,99.92334
1971-03-31,201.0155316606929,192.84764
1971-04-30,335.9953703703704,329.7753
1971-05-31,486.857825567503,444.45233
1971-06-30,638.8888888888888,611.3037
1971-07-31,719.8327359617682,669.77075
1971-08-31,638.0675029868578,631.86993
1971-09-30,1329.861111111111,1277.1427
1971-10-31,1799.9551971326164,1687.8182
1971-11-30,721.0648148148149,693.25964
1971-12-31,308.9904420549582,280.70697
1972-01-31,214.00836320191164,213.72246
1972-02-29,214.0006385696041,202.29248
1972-03-31,284.98357228195937,266.8593
1972-04-30,440.97222222222223,402.10538
1972-05-31,723.9396654719235,673.2128
1972-06-30,1069.83024691358,998.8814
1972-07-31,1910.0955794504182,1868.3696
1972-08-31,1059.9611708482676,1013.6283
1972-09-30,775.8487654320987,747.80145
1972-10-31,658.9755077658302,625.78296
1972-11-30,364.0046296296296,361.70157
1972-12-31,213.0002986857825,216.6973
1973-01-31,174.99253285543608,182.79591
1973-02-28,176.00859788359787,183.03995
1973-03-31,227.00119474313024,223.85304
1973-04-30,293.98148148148147,281.95587
1973-05-31,564.1427718040621,514.7548
1973-06-30,1050.1543209876545,1005.6151
1973-07-31,919.9522102747908,897.48486
1973-08-31,897.1774193548387,872.9997
1973-09-30,1020.0617283950619,944.4518
1973-10-31,1040.1732377538829,994.0027
1973-11-30,535.8796296296297,507.1887
1973-12-31,246.00507765830343,245.58842
1974-01-31,168.01075268817203,168.8434
1974-02-28,175.01653439153438,171.8335
1974-03-31,219.98207885304657,215.4281
1974-04-30,305.0154320987654,296.08472
1974-05-31,486.857825567503,472.17514
1974-06-30,910.8796296296296,856.2035
1974-07-31,896.0573476702509,871.0795
1974-08-31,999.8506571087216,985.8376
1974-09-30,1359.9537037037037,1325.1152
1974-10-31,956.1678614097968,957.85736
1974-11-30,589.891975308642,558.9185
1974-12-31,278.0017921146953,272.80902
1975-01-31,178.9874551971326,184.27524
1975-02-28,183.98644179894177,179.12787
1975-03-31,233.98297491039423,229.828
1975-04-30,316.01080246913585,308.2936
1975-05-31,683.9904420549582,642.4404
1975-06-30,1140.0462962962963,1126.8276
1975-07-31,2230.0627240143367,2247.1165
1975-08-31,1829.823775388292,1803.8147
1975-09-30,1689.8148148148148,1675.9353
1975-10-31,1960.1254480286736,1944.5684
1975-11-30,881.9444444444445,919.10925
1975-12-31,354.0173237753882,361.63144
1976-01-31,239.9940262843489,249.18271
1976-02-29,242.01787994891444,252.67511
1976-03-31,321.98327359617684,313.60794
1976-04-30,449.8456790123456,435.27512
1976-05-31,636.9474313022699,641.8302
1976-06-30,1170.138888888889,1114.4854
1976-07-31,1469.9074074074072,1477.8809
1976-08-31,1920.1762246117087,1891.9216
1976-09-30,2000.0,1854.2224
1976-10-31,1089.8297491039427,1061.0033
1976-11-30,523.9197530864197,539.91174
1976-12-31,289.98655913978496,281.83835
1977-01-31,214.00836320191164,213.17438
1977-02-28,204.98511904761904,205.34818
1977-03-31,293.01075268817203,279.90018
1977-04-30,606.8672839506173,596.7389
1977-05-31,860.9617682198327,840.27747
1977-06-30,966.820987654321,956.61755
1977-07-31,800.8512544802867,794.3394
1977-08-31,711.9922341696536,682.65106
1977-09-30,658.9506172839506,649.97424
1977-10-31,539.8745519713261,528.6407
1977-11-30,333.9891975308642,316.32718
1977-12-31,188.9934289127837,194.32625
1978-01-31,127.01612903225808,151.18863
1978-02-28,141.0094246031746,153.45027
1978-03-31,196.01254480286727,199.92671
1978-04-30,467.9783950617284,451.20438
1978-05-31,551.0752688172043,562.19617
1978-06-30,760.0308641975308,771.7782
1978-07-31,568.9964157706094,600.90314
1978-08-31,1070.041816009558,1058.0758
1978-09-30,1760.030864197531,1734.3445
1978-10-31,1020.0119474313022,1020.4329
1978-11-30,523.9197530864197,499.1641
1978-12-31,256.0110513739546,245.52849
1979-01-31,193.99641577060933,179.2487
1979-02-28,178.98478835978835,169.79466
1979-03-31,220.99014336917563,207.69928
1979-04-30,390.81790123456796,363.7135
1979-05-31,402.85244922341695,400.382
1979-06-30,466.0493827160494,451.93433
1979-07-31,1109.9910394265232,1081.7094
1979-08-31,1739.8446833930702,1698.7709
1979-09-30,1680.1697530864203,1656.7023
1979-10-31,965.1284348864992,975.002
1979-11-30,440.97222222222223,436.69293
1979-12-31,248.99193548387092,233.57376
1980-01-31,173.98446833930706,172.81953
1980-02-29,172.01468710089398,169.40817
1980-03-31,237.0071684587814,220.15453
1980-04-30,328.0092592592593,307.02533
1980-05-31,362.0071684587812,344.40997
1980-06-30,618.8271604938271,582.16223
1980-07-31,1350.0597371565111,1310.9778
1980-08-31,949.0740740740739,991.77765
1980-09-30,1390.0462962962963,1380.1177
1980-10-31,1130.152329749104,1078.8757
1980-11-30,494.9845679012346,485.40472
1980-12-31,221.99820788530462,222.18462
1981-01-31,173.01373954599762,171.05594
1981-02-28,173.98313492063488,173.43419
1981-03-31,223.00627240143368,132.40775
1981-04-30,341.0108024691358,303.6959
