date,flow,CER-BiLSTM
1961-01-31,219.01135005973723,170.14326
1961-02-28,214.9884259259259,171.62592
1961-03-31,279.00985663082434,235.8189
1961-04-30,525.0771604938271,431.50354
1961-05-31,701.9115890083632,610.93036
1961-06-30,849.9228395061729,770.0903
1961-07-31,1749.9253285543607,1629.9952
1961-08-31,1210.0507765830346,1148.9829
1961-09-30,1260.0308641975307,1142.5388
1961-10-31,1479.9880525686976,1366.9668
1961-11-30,880.0154320987656,775.488
1961-12-31,368.9889486260453,282.34314
1962-01-31,256.98178016726405,192.12065
1962-02-28,234.99503968253967,207.73439
1962-03-31,289.35185185185185,226.38638
1962-04-30,444.0586419753087,391.29376
1962-05-31,617.9062126642772,594.4857
1962-06-30,1160.108024691358,1055.1123
1962-07-31,1490.068697729988,1414.8483
1962-08-31,1260.0806451612902,1198.8881
1962-09-30,755.0154320987655,730.22614
1962-10-31,778.0764635603346,722.5104
1962-11-30,511.1882716049383,473.22647
1962-12-31,275.98566308243727,220.88487
1963-01-31,176.00059737156514,159.31996
1963-02-28,188.98809523809524,165.6959
1963-03-31,247.98387096774192,201.84184
1963-04-30,331.01851851851853,302.6444
1963-05-31,523.8201911589008,493.31876
1963-06-30,714.8919753,671.682
1963-07-31,1609.9163679808842,1558.5986
1963-08-31,1310.110513739546,1254.1509
1963-09-30,2369.984567901234,2282.6018
1963-10-31,1870.1463560334528,1680.416
1963-11-30,694.8302469135804,641.1944
1963-12-31,340.0164277180406,275.12936
1964-01-31,238.98596176821985,206.92052
1964-02-29,253.9910600255428,202.89175
1964-03-31,318.9964157706093,248.4086
1964-04-30,486.1111111111111,416.77298
1964-05-31,670.9229390681004,584.63617
1964-06-30,719.9074074074074,632.4914
1964-07-31,2000.0746714456395,1901.5165
1964-08-31,1540.0985663082438,1432.1556
1964-09-30,1599.9228395061727,1453.4248
1964-10-31,1369.847670250896,1286.7728
1964-11-30,652.0061728395061,613.3336
1964-12-31,332.9973118,276.2428
1965-01-31,238.98596176821985,198.3076
1965-02-28,265.54232804232805,205.4107
1965-03-31,283.0047789725209,237.18091
1965-04-30,432.87037037037044,372.8211
1965-05-31,667.9360812425329,592.8823
1965-06-30,935.1851851851852,835.1287
1965-07-31,1569.9671445639185,1503.668
1965-08-31,838.9336917562724,830.17554
1965-09-30,1050.1543209876545,990.7505
1965-10-31,869.9223416965351,835.0666
1965-11-30,447.91666666666663,414.54736
1965-12-31,223.0062724014337,200.63951
1966-01-31,187.0146356033453,183.66187
1966-02-28,187.00396825396825,178.50009
1966-03-31,244.9970131421744,225.31209
1966-04-30,334.99228395061726,302.3803
1966-05-31,405.09259259259267,366.90527
1966-06-30,484.18209876543216,488.8538
1966-07-31,1040.1732377538829,1029.2106
1966-08-31,1780.1672640382317,1738.957
1966-09-30,2060.185185185185,2051.7375
1966-10-31,1469.9074074074072,1447.879
1966-11-30,635.0308641975308,609.7667
1966-12-31,325.0074671445639,276.88766
1967-01-31,243.9889486260454,205.4107
1967-02-28,218.0059523809524,200.73875
1967-03-31,270.98267622461174,253.85764
1967-04-30,369.9845679012346,349.78442
1967-05-31,1160.020908004779,1069.1423
1967-06-30,1219.9074074074074,1139.041
1967-07-31,2113.575268817204,2070.4731
1967-08-31,1699.8954599761048,1611.4454
1967-09-30,2550.154320987654,2464.135
1967-10-31,1630.077658303465,1534.8405
1967-11-30,841.0493827160494,728.85504
1967-12-31,386.05137395459974,309.76422
1968-01-31,286.9997013142174,228.62144
1968-02-29,253.9910600255428,229.20947
1968-03-31,317.9883512544803,294.06232
1968-04-30,496.9135802469136,465.4354
1968-05-31,1189.889486260454,1120.6537
1968-06-30,1130.0154320987654,1113.1981
1968-07-31,1440.0388291517324,1341.853
1968-08-31,1020.0119474313022,966.27985
1968-09-30,2069.830247,2051.2708
1968-10-31,1319.8178016726404,1235.7677
1968-11-30,677.8549383,577.1543
1968-12-31,378.9575866188769,289.90363
1969-01-31,261.9847670250896,216.76497
1969-02-28,251.98412700000003,198.11084
1969-03-31,294.9895459976105,252.03217
1969-04-30,375.0000000000001,332.91812
1969-05-31,548.8351254480286,512.8874
1969-06-30,689.8148148148148,641.9918
1969-07-31,1149.9402628434889,1127.6787
1969-08-31,881.8697729988053,809.3993
1969-09-30,768.1327160493827,728.73315
1969-10-31,896.057347670251,831.1113
1969-11-30,437.11419753086426,390.855
1969-12-31,218.0032855436081,191.72505
1970-01-31,183.99044205495807,156.61743
1970-02-28,159.01951058201058,150.7594
1970-03-31,200.00746714456392,189.40065
1970-04-30,380.0154320987655,346.46564
1970-05-31,594.0113500597372,528.0474
1970-06-30,714.1203703703704,649.54535
1970-07-31,731.0334528076463,738.839
1970-08-31,1229.8387096774193,1126.5586
1970-09-30,599.9228395061729,593.82806
1970-10-31,645.1612903225806,604.83954
1970-11-30,372.9938271604938,362.36813
1970-12-31,186.00657108721623,177.36243
1971-01-31,183.24372759856632,136.60239
1971-02-28,156.00198412698413,79.28687
1971-03-31,201.0155316606929,188.22752
1971-04-30,315.0077160493827,319.60138
1971-05-31,477.8972520908004,450.4007
1971-06-30,618.8271604938271,615.56506
1971-07-31,714.979092,677.8509
1971-08-31,614.9193548387096,625.76245
1971-09-30,1369.9845679012346,1324.4044
1971-10-31,1870.1463560334528,1761.4434
1971-11-30,755.0154320987655,729.7323
1971-12-31,303.0167264038232,263.70346
1972-01-31,220.99014336917563,193.58
1972-02-29,212.00510855683268,194.1508
1972-03-31,280.98864994026286,253.51173
1972-04-30,440.2006172839505,386.48422
1972-05-31,742.9808841099162,684.7504
1972-06-30,1060.1851851851852,1004.8888
1972-07-31,1929.8835125448031,1908.5868
1972-08-31,1130.152329749104,1101.3632
1972-09-30,814.8148148148148,803.3984
1972-10-31,652.6284348864993,661.7439
1972-11-30,378.00925925925924,369.01483
1972-12-31,215.01642771804063,202.024
1973-01-31,174.99253285543608,166.37593
1973-02-28,178.98478835978835,157.8856
1973-03-31,219.01135005973723,207.52618
1973-04-30,279.0123456790124,281.07123
1973-05-31,561.9026284348865,535.34125
1973-06-30,1000.0,994.86597
1973-07-31,953.9277180406212,905.1336
1973-08-31,928.1660692951016,873.25085
1973-09-30,1069.830247,989.55176
1973-10-31,1070.041816009558,1040.7491
1973-11-30,548.9969135802469,534.5012
1973-12-31,256.0110513739546,232.66188
1974-01-31,167.0026882,153.26227
1974-02-28,181.0102513227513,172.52829
1974-03-31,227.00119474313018,209.68996
1974-04-30,325.0,291.56488
1974-05-31,489.09796893667857,481.97418
1974-06-30,917.0524691358024,870.34076
1974-07-31,897.9241338112306,868.344
1974-08-31,1040.1732377538829,1009.16113
1974-09-30,1349.9228395061727,1355.0225
1974-10-31,999.8506571087216,1028.5529
1974-11-30,636.1882716049382,609.725
1974-12-31,284.98357228195937,275.81592
1975-01-31,192.98835125448028,186.75644
1975-02-28,192.9976851851852,191.20454
1975-03-31,242.01015531660693,228.94649
1975-04-30,301.00308641975306,316.8361
1975-05-31,679.8835125448029,664.216
1975-06-30,1140.0462962962963,1132.4103
1975-07-31,2280.0925925925926,2276.4028
1975-08-31,1929.8835125448031,1900.4037
1975-09-30,1729.9382716049383,1693.4738
1975-10-31,2010.155316606929,1977.5233
1975-11-30,949.0740741,942.4716
1975-12-31,372.0131421744325,361.98776
1976-01-31,271.9907407407408,237.94206
1976-02-29,279.01500638569604,246.5398
1976-03-31,329.0023894862604,311.08072
1976-04-30,451.3888888888889,433.12512
1976-05-31,654.8685782556751,633.978
1976-06-30,1199.8456790123455,1131.5372
1976-07-31,1519.937275985663,1522.8281
1976-08-31,2060.185185185185,1976.2856
1976-09-30,2150.077160493828,1961.7142
1976-10-31,1120.0716845878137,1082.8182
1976-11-30,586.0339506,549.3596
1976-12-31,315.00149342891274,272.33942
1977-01-31,228.0092592592593,200.75238
1977-02-28,219.9900793650794,206.86197
1977-03-31,294.9895459976105,286.6622
1977-04-30,670.1388888888889,589.8206
1977-05-31,890.0836320191158,804.4764
1977-06-30,994.9845679012343,974.1088
