date,CER-XGB
1961-01-31,172.99701
1961-02-28,167.88405
1961-03-31,241.24585
1961-04-30,477.70663
1961-05-31,673.1513
1961-06-30,834.70374
1961-07-31,1698.5311
1961-08-31,1104.1361
1961-09-30,1091.5931
1961-10-31,1308.5172
1961-11-30,755.1826
1961-12-31,288.16165
1962-01-31,195.06224
1962-02-28,192.09354
1962-03-31,206.43706
1962-04-30,397.62384
1962-05-31,576.7871
1962-06-30,1138.6019
1962-07-31,1488.1323
1962-08-31,1238.5436
1962-09-30,693.0351
1962-10-31,729.4846
1962-11-30,456.8687
1962-12-31,215.06853
1963-01-31,142.97823
1963-02-28,138.39355
1963-03-31,211.67578
1963-04-30,286.07373
1963-05-31,468.9024
1963-06-30,675.00006
1963-07-31,1533.6843
1963-08-31,1210.2439
1963-09-30,2267.1948
1963-10-31,1642.3011
1963-11-30,575.13696
1963-12-31,267.26886
1964-01-31,203.68068
1964-02-29,191.12392
1964-03-31,251.18118
1964-04-30,403.78607
1964-05-31,584.7289
1964-06-30,623.6075
1964-07-31,1808.1171
1964-08-31,1406.287
1964-09-30,1418.2825
1964-10-31,1271.6533
1964-11-30,584.95264
1964-12-31,275.5952
1965-01-31,197.60371
1965-02-28,207.28703
1965-03-31,226.83038
1965-04-30,350.3759
1965-05-31,586.7172
1965-06-30,866.4617
1965-07-31,1498.7233
1965-08-31,794.5129
1965-09-30,991.92725
1965-10-31,816.9188
1965-11-30,415.79492
1965-12-31,213.93533
1966-01-31,173.9142
1966-02-28,167.38683
1966-03-31,227.04279
1966-04-30,311.02518
1966-05-31,367.44864
1966-06-30,447.59363
1966-07-31,1045.7275
1966-08-31,1769.221
1966-09-30,2015.2094
1966-10-31,1444.7635
1966-11-30,602.1855
1966-12-31,287.07043
1967-01-31,206.20921
1967-02-28,192.62085
1967-03-31,251.02655
1967-04-30,349.74472
1967-05-31,1109.752
1967-06-30,1169.5863
1967-07-31,1967.4653
1967-08-31,1668.9092
1967-09-30,2377.116
1967-10-31,1537.0245
1967-11-30,811.7118
1967-12-31,353.01608
1968-01-31,258.1022
1968-02-29,229.26208
1968-03-31,307.16095
1968-04-30,499.7313
1968-05-31,1185.3654
1968-06-30,1159.9149
1968-07-31,1419.223
1968-08-31,973.4473
1968-09-30,2067.5771
1968-10-31,1219.2173
1968-11-30,563.3846
1968-12-31,315.24146
1969-01-31,235.05257
1969-02-28,209.97594
1969-03-31,253.10587
1969-04-30,329.9309
1969-05-31,509.95737
1969-06-30,650.1982
1969-07-31,1130.4564
1969-08-31,797.30615
1969-09-30,701.2412
1969-10-31,839.53876
1969-11-30,381.11615
1969-12-31,189.56592
1970-01-31,147.68216
1970-02-28,146.44052
1970-03-31,189.67381
1970-04-30,366.13922
1970-05-31,557.50287
1970-06-30,671.1516
1970-07-31,739.7085
1970-08-31,1192.9277
1970-09-30,565.5463
1970-10-31,613.7124
1970-11-30,348.92752
1970-12-31,177.08711
1971-01-31,138.96921
1971-02-28,135.94934
1971-03-31,200.67331
1971-04-30,336.44855
1971-05-31,485.47504
1971-06-30,638.9748
1971-07-31,737.67346
1971-08-31,658.39526
1971-09-30,1334.115
1971-10-31,1797.9779
1971-11-30,720.7779
1971-12-31,308.78995
1972-01-31,214.26242
1972-02-29,212.88513
1972-03-31,286.79156
1972-04-30,441.3819
1972-05-31,723.801
1972-06-30,1069.4021
1972-07-31,1909.323
1972-08-31,1071.2943
1972-09-30,826.6491
1972-10-31,678.75195
1972-11-30,364.1599
1972-12-31,213.27039
1973-01-31,174.79837
1973-02-28,176.18509
1973-03-31,227.1681
1973-04-30,294.3364
1973-05-31,563.9709
1973-06-30,1050.6788
1973-07-31,913.89777
1973-08-31,889.4084
1973-09-30,1017.0555
1973-10-31,1044.895
1973-11-30,535.36926
1973-12-31,245.06223
1974-01-31,167.13548
1974-02-28,175.3772
1974-03-31,219.49799
1974-04-30,304.97504
1974-05-31,486.95035
1974-06-30,909.79974
1974-07-31,894.57654
1974-08-31,1005.5926
1974-09-30,1358.1873
1974-10-31,955.4289
1974-11-30,590.77924
1974-12-31,277.92697
1975-01-31,179.19444
1975-02-28,184.23051
1975-03-31,234.04459
1975-04-30,315.50415
1975-05-31,684.4086
1975-06-30,1139.7273
1975-07-31,2257.6074
1975-08-31,1828.0482
1975-09-30,1688.5768
1975-10-31,1967.3618
1975-11-30,882.12366
1975-12-31,356.6754
1976-01-31,240.41354
1976-02-29,243.49126
1976-03-31,321.82397
1976-04-30,450.20752
1976-05-31,638.0009
1976-06-30,1170.2784
1976-07-31,1469.0756
1976-08-31,1918.1898
1976-09-30,2001.8777
1976-10-31,1090.8586
1976-11-30,524.49445
1976-12-31,290.0359
1977-01-31,213.09164
1977-02-28,204.68118
1977-03-31,292.931
1977-04-30,606.7661
1977-05-31,861.3923
1977-06-30,967.9033
1977-07-31,800.0069
1977-08-31,709.62415
1977-09-30,656.8663
1977-10-31,539.40155
1977-11-30,334.56296
1977-12-31,188.71509
1978-01-31,127.67247
1978-02-28,140.39139
1978-03-31,195.35295
1978-04-30,468.2371
1978-05-31,551.5672
1978-06-30,759.7871
1978-07-31,583.68475
1978-08-31,1085.6088
1978-09-30,1749.4882
1978-10-31,1025.2712
1978-11-30,524.5441
1978-12-31,255.70386
1979-01-31,194.23743
1979-02-28,178.07576
1979-03-31,220.28293
1979-04-30,389.96863
1979-05-31,402.88712
1979-06-30,468.21686
1979-07-31,1109.5735
1979-08-31,1733.1759
1979-09-30,1667.6713
1979-10-31,964.43976
1979-11-30,441.9722
1979-12-31,248.6135
1980-01-31,173.96439
1980-02-29,172.35123
1980-03-31,237.38599
1980-04-30,327.4307
1980-05-31,362.3002
1980-06-30,619.2274
1980-07-31,1348.1023
1980-08-31,943.6253
1980-09-30,1392.7186
1980-10-31,1131.4908
1980-11-30,495.98267
1980-12-31,224.21065
1981-01-31,173.44519
1981-02-28,174.10094
1981-03-31,218.84914
1981-04-30,342.40408
1981-05-31,584.17114
1981-06-30,1060.2085
1981-07-31,1642.1093
1981-08-31,1062.4456
1981-09-30,3010.489
1981-10-31,1688.6737
1981-11-30,713.94196
1981-12-31,351.71243
1982-01-31,250.58481
1982-02-28,249.56824
1982-03-31,286.40558
1982-04-30,395.65942
1982-05-31,850.0728
1982-06-30,1516.2584
1982-07-31,1750.6093
1982-08-31,1057.801
1982-09-30,1659.9603
1982-10-31,1642.28
1982-11-30,696.04614
1982-12-31,326.1537
1983-01-31,233.00122
1983-02-28,215.98203
1983-03-31,250.88579
1983-04-30,476.33328
1983-05-31,872.7105
1983-06-30,1209.489
1983-07-31,2527.8152
1983-08-31,1798.7078
1983-09-30,1092.6384
1983-10-31,1960.6204
1983-11-30,911.5458
1983-12-31,558.0673
1984-01-31,274.6616
1984-02-29,281.87976
1984-03-31,326.41418
1984-04-30,443.95337
1984-05-31,519.3891
1984-06-30,1062.6061
1984-07-31,2464.6404
1984-08-31,1494.0441
1984-09-30,835.02747
1984-10-31,896.1096
1984-11-30,521.0734
1984-12-31,279.935
1985-01-31,207.4134
1985-02-28,178.12453
1985-03-31,233.80844
1985-04-30,357.20642
1985-05-31,452.18097
1985-06-30,664.33954
1985-07-31,1249.6993
1985-08-31,977.33887
1985-09-30,2462.98
1985-10-31,1168.8573
1985-11-30,508.7995
1985-12-31,268.6124
1986-01-31,194.49529
1986-02-28,188.33472
1986-03-31,250.09648
1986-04-30,372.814
1986-05-31,864.4177
1986-06-30,1097.1296
1986-07-31,1755.8201
1986-08-31,743.8336
1986-09-30,1118.3523
1986-10-31,610.0798
1986-11-30,380.03183
1986-12-31,230.16653
1987-01-31,181.635
1987-02-28,173.23047
1987-03-31,207.63509
1987-04-30,260.94785
1987-05-31,526.0171
1987-06-30,1136.7803
1987-07-31,1782.346
1987-08-31,980.76324
1987-09-30,606.5354
1987-10-31,526.8631
1987-11-30,354.50723
1987-12-31,203.47867
1988-01-31,157.03966
1988-02-29,156.97087
1988-03-31,228.42735
1988-04-30,333.04523
1988-05-31,385.89145
1988-06-30,816.5328
1988-07-31,906.1148
1988-08-31,583.16675
1988-09-30,780.2766
1988-10-31,1225.9467
1988-11-30,671.29443
1988-12-31,289.3992
1989-01-31,181.20471
1989-02-28,169.42772
1989-03-31,284.75974
1989-04-30,363.26382
1989-05-31,855.8986
1989-06-30,2449.4822
1989-07-31,2418.5818
1989-08-31,1923.493
1989-09-30,1794.6201
1989-10-31,1175.0947
1989-11-30,682.8587
1989-12-31,366.46555
1990-01-31,270.61804
1990-02-28,246.60817
1990-03-31,308.5675
1990-04-30,374.61853
1990-05-31,708.42865
1990-06-30,776.4383
1990-07-31,789.62476
1990-08-31,851.9762
1990-09-30,962.78925
1990-10-31,701.2215
1990-11-30,392.70938
1990-12-31,236.79897
1991-01-31,167.70088
1991-02-28,157.7352
1991-03-31,211.8958
1991-04-30,246.20297
1991-05-31,444.22086
1991-06-30,557.7585
1991-07-31,973.29517
1991-08-31,1284.0353
1991-09-30,715.47327
1991-10-31,688.28284
1991-11-30,385.3435
1991-12-31,217.68509
1992-01-31,163.96297
1992-02-29,157.5098
1992-03-31,198.2498
1992-04-30,353.38474
1992-05-31,508.28854
1992-06-30,793.6645
1992-07-31,1720.8228
1992-08-31,1154.971
1992-09-30,994.191
1992-10-31,1018.0709
1992-11-30,402.28043
1992-12-31,213.49747
1993-01-31,178.57184
1993-02-28,176.52689
1993-03-31,238.50653
1993-04-30,483.4838
1993-05-31,706.91675
1993-06-30,1003.8875
1993-07-31,1437.6306
1993-08-31,1677.6536
1993-09-30,1072.0354
1993-10-31,781.05194
1993-11-30,489.3207
1993-12-31,236.3436
1994-01-31,177.66571
1994-02-28,164.77667
1994-03-31,217.30183
1994-04-30,478.12485
1994-05-31,619.04407
1994-06-30,1132.8384
1994-07-31,1025.3682
1994-08-31,700.4563
1994-09-30,764.16736
1994-10-31,656.0248
1994-11-30,358.22842
1994-12-31,197.18114
1995-01-31,161.30125
1995-02-28,155.55667
1995-03-31,178.90572
1995-04-30,357.40353
1995-05-31,765.5385
1995-06-30,570.1269
1995-07-31,571.9741
1995-08-31,1087.2224
1995-09-30,917.4041
1995-10-31,720.12317
1995-11-30,461.39154
1995-12-31,245.23418
1996-01-31,151.19196
1996-02-29,161.58807
1996-03-31,220.76535
1996-04-30,334.07233
1996-05-31,555.1978
1996-06-30,790.6119
1996-07-31,754.0428
1996-08-31,825.9984
1996-09-30,793.53284
1996-10-31,698.9578
1996-11-30,383.23547
1996-12-31,206.60918
1997-01-31,144.79832
1997-02-28,157.0936
1997-03-31,203.3661
1997-04-30,296.15332
1997-05-31,812.5589
1997-06-30,761.4833
1997-07-31,862.1076
1997-08-31,752.9223
1997-09-30,456.55887
1997-10-31,519.5857
1997-11-30,380.95258
1997-12-31,197.53358
1998-01-31,153.60484
1998-02-28,157.22171
1998-03-31,196.36597
1998-04-30,372.05078
1998-05-31,582.0571
1998-06-30,539.3541
1998-07-31,1089.0604
1998-08-31,1288.8174
1998-09-30,1162.3221
1998-10-31,868.2085
1998-11-30,508.40707
1998-12-31,242.51688
1999-01-31,168.24141
1999-02-28,191.31038
1999-03-31,221.80617
1999-04-30,304.39496
1999-05-31,389.7602
1999-06-30,1454.494
1999-07-31,2463.3174
1999-08-31,1452.7028
1999-09-30,826.6752
1999-10-31,1116.2477
1999-11-30,587.15027
1999-12-31,264.50558
2000-01-31,179.43054
2000-02-29,177.37463
2000-03-31,196.68733
2000-04-30,359.1758
2000-05-31,456.00235
2000-06-30,1029.8943
2000-07-31,820.6699
2000-08-31,742.80255
2000-09-30,806.9317
