date,CER-XGB
1961-01-31,217.79102
1961-02-28,214.24377
1961-03-31,278.18353
1961-04-30,520.67163
1961-05-31,700.5446
1961-06-30,851.5616
1961-07-31,1748.2306
1961-08-31,1206.2245
1961-09-30,1257.3749
1961-10-31,1477.7828
1961-11-30,875.66754
1961-12-31,367.8604
1962-01-31,252.29759
1962-02-28,235.51595
1962-03-31,282.1112
1962-04-30,442.17398
1962-05-31,619.0646
1962-06-30,1160.3672
1962-07-31,1494.19
1962-08-31,1260.009
1962-09-30,754.7542
1962-10-31,780.13794
1962-11-30,511.76196
1962-12-31,271.39267
1963-01-31,178.78891
1963-02-28,188.38933
1963-03-31,247.99754
1963-04-30,331.6779
1963-05-31,523.0483
1963-06-30,715.42
1963-07-31,1621.8788
1963-08-31,1316.5708
1963-09-30,2420.2874
1963-10-31,1865.876
1963-11-30,691.73535
1963-12-31,339.71045
1964-01-31,239.64612
1964-02-29,252.64543
1964-03-31,317.76895
1964-04-30,485.9406
1964-05-31,670.58856
1964-06-30,718.4509
1964-07-31,2000.5184
1964-08-31,1538.3201
1964-09-30,1615.0249
1964-10-31,1392.8726
1964-11-30,651.6805
1964-12-31,330.44208
1965-01-31,236.88795
1965-02-28,263.45804
1965-03-31,280.16962
1965-04-30,427.4746
1965-05-31,666.5901
1965-06-30,932.7405
1965-07-31,1574.5399
1965-08-31,833.62396
1965-09-30,1048.1483
1965-10-31,866.2151
1965-11-30,446.54816
1965-12-31,223.34676
1966-01-31,187.06494
1966-02-28,187.46791
1966-03-31,244.06573
1966-04-30,334.97314
1966-05-31,406.42276
1966-06-30,484.81058
1966-07-31,1040.9122
1966-08-31,1803.0609
1966-09-30,2074.5098
1966-10-31,1467.8492
1966-11-30,637.0254
1966-12-31,324.6151
1967-01-31,245.41563
1967-02-28,221.26321
1967-03-31,271.172
1967-04-30,373.42722
1967-05-31,1158.2136
1967-06-30,1217.5753
1967-07-31,2095.8262
1967-08-31,1725.8369
1967-09-30,2612.2534
1967-10-31,1626.7158
1967-11-30,842.7034
1967-12-31,385.93237
1968-01-31,286.75464
1968-02-29,253.48569
1968-03-31,318.03397
1968-04-30,498.3847
1968-05-31,1179.9879
1968-06-30,1129.8441
1968-07-31,1437.4631
1968-08-31,1017.7609
1968-09-30,2129.841
1968-10-31,1320.8015
1968-11-30,675.34235
1968-12-31,375.84662
1969-01-31,260.26236
1969-02-28,251.58296
1969-03-31,294.7295
1969-04-30,372.76666
1969-05-31,547.80817
1969-06-30,690.76794
1969-07-31,1150.3264
1969-08-31,882.9078
1969-09-30,767.609
1969-10-31,895.9061
1969-11-30,437.94125
1969-12-31,216.29065
1970-01-31,182.6169
1970-02-28,160.58882
1970-03-31,201.16385
1970-04-30,379.21835
1970-05-31,593.34143
1970-06-30,712.077
1970-07-31,759.71265
1970-08-31,1232.3223
1970-09-30,596.34906
1970-10-31,644.277
1970-11-30,371.6933
1970-12-31,186.98329
1971-01-31,180.08345
1971-02-28,156.8617
1971-03-31,202.98926
1971-04-30,316.2719
1971-05-31,474.6465
1971-06-30,618.36395
1971-07-31,730.984
1971-08-31,629.1963
1971-09-30,1366.4739
1971-10-31,1870.5072
1971-11-30,753.47675
1971-12-31,304.90198
1972-01-31,221.99045
1972-02-29,214.14645
1972-03-31,282.9017
1972-04-30,439.4294
1972-05-31,743.54626
1972-06-30,1058.8926
1972-07-31,1932.8558
1972-08-31,1148.1814
1972-09-30,891.8591
1972-10-31,679.822
1972-11-30,378.01016
1972-12-31,217.38634
1973-01-31,176.16702
1973-02-28,177.56035
1973-03-31,217.41795
1973-04-30,282.09818
1973-05-31,563.1631
1973-06-30,998.5552
1973-07-31,951.9283
1973-08-31,921.5033
1973-09-30,1068.2065
1973-10-31,1069.8949
1973-11-30,550.1745
1973-12-31,255.89168
1974-01-31,169.76646
1974-02-28,180.39627
1974-03-31,226.72633
1974-04-30,327.44498
1974-05-31,491.49442
1974-06-30,915.9241
1974-07-31,894.5133
1974-08-31,1052.1537
1974-09-30,1356.3433
1974-10-31,999.37823
1974-11-30,636.6039
1974-12-31,286.27234
1975-01-31,193.58658
1975-02-28,191.96217
1975-03-31,242.92706
1975-04-30,305.74908
1975-05-31,680.3069
1975-06-30,1139.0297
1975-07-31,2365.4348
1975-08-31,1923.7863
1975-09-30,1731.8518
1975-10-31,2016.1969
1975-11-30,947.2329
1975-12-31,372.17438
1976-01-31,270.43134
1976-02-29,275.82507
1976-03-31,328.559
1976-04-30,449.95364
1976-05-31,656.25116
1976-06-30,1201.0183
1976-07-31,1521.2081
1976-08-31,2058.421
1976-09-30,2144.549
1976-10-31,1119.5754
1976-11-30,584.7456
1976-12-31,314.9749
1977-01-31,228.25288
1977-02-28,220.96893
1977-03-31,296.86142
1977-04-30,668.2825
1977-05-31,890.3355
1977-06-30,994.3576
1977-07-31,829.7217
1977-08-31,762.80286
1977-09-30,691.6956
1977-10-31,567.6997
1977-11-30,354.25977
1977-12-31,191.66805
1978-01-31,146.14777
1978-02-28,153.03117
1978-03-31,194.97247
1978-04-30,484.52533
1978-05-31,596.4339
1978-06-30,802.26587
1978-07-31,637.54034
1978-08-31,1170.3784
1978-09-30,1848.6165
1978-10-31,1096.8984
1978-11-30,588.92426
1978-12-31,274.62943
1979-01-31,200.60439
1979-02-28,186.44815
1979-03-31,222.67097
1979-04-30,389.78564
1979-05-31,401.4776
1979-06-30,470.53882
1979-07-31,1079.855
1979-08-31,1746.4567
1979-09-30,1775.9542
1979-10-31,1040.389
1979-11-30,487.61752
1979-12-31,265.27097
1980-01-31,184.47006
1980-02-29,188.38474
1980-03-31,245.50272
1980-04-30,339.95392
1980-05-31,368.40204
1980-06-30,617.74536
1980-07-31,1375.2666
1980-08-31,993.12274
1980-09-30,1431.4807
1980-10-31,1172.1631
1980-11-30,524.7277
1980-12-31,234.54707
1981-01-31,181.95663
1981-02-28,187.07346
1981-03-31,221.73868
1981-04-30,336.1451
1981-05-31,572.8048
1981-06-30,1012.25165
1981-07-31,1668.7373
1981-08-31,1068.7437
1981-09-30,2960.5176
1981-10-31,1736.6381
1981-11-30,701.8414
1981-12-31,342.61282
1982-01-31,254.75961
1982-02-28,244.77428
1982-03-31,286.36044
1982-04-30,401.8031
1982-05-31,818.4929
1982-06-30,1475.0103
1982-07-31,1754.317
1982-08-31,1069.0509
1982-09-30,1683.0148
1982-10-31,1655.4866
1982-11-30,735.9101
1982-12-31,337.0016
1983-01-31,236.32675
1983-02-28,219.89043
1983-03-31,234.86354
1983-04-30,445.1001
1983-05-31,868.5813
1983-06-30,1221.4772
1983-07-31,2576.9458
1983-08-31,1880.4375
1983-09-30,1131.7797
1983-10-31,2019.3937
1983-11-30,935.999
1983-12-31,378.0067
1984-01-31,260.44067
1984-02-29,263.85696
1984-03-31,299.53906
1984-04-30,414.8013
1984-05-31,496.09015
1984-06-30,1015.08356
1984-07-31,2432.4646
1984-08-31,1516.1106
1984-09-30,829.4507
1984-10-31,863.1582
1984-11-30,491.499
1984-12-31,276.79462
1985-01-31,206.43442
1985-02-28,181.32722
1985-03-31,229.38379
1985-04-30,332.32446
1985-05-31,426.44272
1985-06-30,650.8673
1985-07-31,1298.0071
1985-08-31,968.4836
1985-09-30,2411.0486
1985-10-31,1191.7291
1985-11-30,518.7281
1985-12-31,274.8079
1986-01-31,214.96439
1986-02-28,197.58438
1986-03-31,253.41939
1986-04-30,376.37567
1986-05-31,862.2479
1986-06-30,1183.2046
1986-07-31,1807.36
1986-08-31,812.19324
1986-09-30,1243.8113
1986-10-31,635.1097
1986-11-30,369.46002
1986-12-31,241.7051
1987-01-31,180.35175
1987-02-28,191.30789
1987-03-31,221.14873
1987-04-30,311.6616
1987-05-31,589.9267
1987-06-30,1233.443
1987-07-31,1757.7701
1987-08-31,1028.7838
1987-09-30,634.2769
1987-10-31,613.15106
1987-11-30,368.25266
1987-12-31,218.7326
1988-01-31,189.89188
1988-02-29,185.47464
1988-03-31,234.1747
1988-04-30,346.09778
1988-05-31,444.78845
1988-06-30,832.2381
1988-07-31,937.0961
1988-08-31,634.58624
1988-09-30,814.592
1988-10-31,1286.1978
1988-11-30,640.96497
1988-12-31,268.5765
1989-01-31,186.96472
