date,E-XGB
1961-01-31,173.14977
1961-02-28,167.94226
1961-03-31,240.99948
1961-04-30,476.05438
1961-05-31,673.376
1961-06-30,834.2001
1961-07-31,1696.7097
1961-08-31,1092.4913
1961-09-30,1086.4574
1961-10-31,1308.1388
1961-11-30,754.61487
1961-12-31,287.01456
1962-01-31,194.88812
1962-02-28,192.0346
1962-03-31,207.11371
1962-04-30,398.25632
1962-05-31,578.265
1962-06-30,1138.6196
1962-07-31,1494.9883
1962-08-31,1235.4634
1962-09-30,690.5661
1962-10-31,734.69403
1962-11-30,456.77722
1962-12-31,215.39981
1963-01-31,142.42708
1963-02-28,142.7554
1963-03-31,212.09105
1963-04-30,283.79324
1963-05-31,467.42056
1963-06-30,674.7776
1963-07-31,1521.658
1963-08-31,1199.9203
1963-09-30,2238.2317
1963-10-31,1659.8401
1963-11-30,574.99915
1963-12-31,268.226
1964-01-31,203.91193
1964-02-29,191.0962
1964-03-31,250.47986
1964-04-30,404.9666
1964-05-31,584.78467
1964-06-30,626.321
1964-07-31,1809.2605
1964-08-31,1400.5879
1964-09-30,1439.99
1964-10-31,1304.4958
1964-11-30,583.72986
1964-12-31,276.47415
1965-01-31,198.00127
1965-02-28,208.32916
1965-03-31,226.8876
1965-04-30,350.14548
1965-05-31,587.5779
1965-06-30,865.91705
1965-07-31,1500.2134
1965-08-31,788.61017
1965-09-30,991.531
1965-10-31,827.12823
1965-11-30,416.17853
1965-12-31,211.52261
1966-01-31,173.93556
1966-02-28,167.49693
1966-03-31,227.54924
1966-04-30,311.5709
1966-05-31,368.8554
1966-06-30,447.6513
1966-07-31,1051.9115
1966-08-31,1837.3837
1966-09-30,2026.7897
1966-10-31,1440.8467
1966-11-30,603.0134
1966-12-31,286.9736
1967-01-31,207.02507
1967-02-28,193.47223
1967-03-31,250.5413
1967-04-30,351.40018
1967-05-31,1113.6313
1967-06-30,1169.9989
1967-07-31,1944.2906
1967-08-31,1693.1699
1967-09-30,2376.8555
1967-10-31,1535.8656
1967-11-30,817.8861
1967-12-31,352.61252
1968-01-31,265.95453
1968-02-29,228.77164
1968-03-31,306.92822
1968-04-30,500.3487
1968-05-31,1148.1671
1968-06-30,1159.078
1968-07-31,1422.3279
1968-08-31,979.8619
1968-09-30,2052.2585
1968-10-31,1219.5112
1968-11-30,568.66345
1968-12-31,314.26294
1969-01-31,232.83194
1969-02-28,208.80254
1969-03-31,252.14378
1969-04-30,331.48074
1969-05-31,511.56738
1969-06-30,649.68494
1969-07-31,1132.6543
1969-08-31,800.5379
1969-09-30,699.94165
1969-10-31,840.3337
1969-11-30,380.19757
1969-12-31,190.11552
1970-01-31,147.64449
1970-02-28,146.32234
1970-03-31,189.29349
1970-04-30,367.21964
1970-05-31,557.7748
1970-06-30,671.6866
1970-07-31,729.46344
1970-08-31,1179.7777
1970-09-30,569.34503
1970-10-31,616.10876
1970-11-30,348.4406
1970-12-31,176.20103
1971-01-31,139.83755
1971-02-28,136.06892
1971-03-31,201.11917
1971-04-30,335.2216
1971-05-31,486.4113
1971-06-30,646.1989
1971-07-31,722.19653
1971-08-31,638.44183
1971-09-30,1334.229
1971-10-31,1798.3167
1971-11-30,721.06775
1971-12-31,308.9342
1972-01-31,213.8847
1972-02-29,212.31978
1972-03-31,286.02295
1972-04-30,441.36618
1972-05-31,727.01514
1972-06-30,1070.2587
1972-07-31,1913.4773
1972-08-31,1054.0198
1972-09-30,880.79504
1972-10-31,699.79504
1972-11-30,363.06854
1972-12-31,214.19638
1973-01-31,176.42062
1973-02-28,175.55226
1973-03-31,227.3558
1973-04-30,296.71344
1973-05-31,566.51263
1973-06-30,1048.7439
1973-07-31,923.44885
1973-08-31,894.6743
1973-09-30,1013.615
1973-10-31,1046.1182
1973-11-30,535.3742
1973-12-31,246.3309
1974-01-31,166.65779
1974-02-28,174.19385
1974-03-31,219.43289
1974-04-30,305.41223
1974-05-31,487.73987
1974-06-30,910.06256
1974-07-31,894.1596
1974-08-31,999.92017
1974-09-30,1362.255
1974-10-31,953.0819
1974-11-30,588.80597
1974-12-31,278.05658
1975-01-31,179.66628
1975-02-28,184.28151
1975-03-31,235.05728
1975-04-30,314.9574
1975-05-31,683.77106
1975-06-30,1140.3627
1975-07-31,2229.8218
1975-08-31,1829.249
1975-09-30,1680.765
1975-10-31,1979.7096
1975-11-30,878.3869
1975-12-31,354.04077
1976-01-31,239.80318
1976-02-29,241.28554
1976-03-31,322.28693
1976-04-30,451.74466
1976-05-31,638.6753
1976-06-30,1170.4948
1976-07-31,1471.5507
1976-08-31,1920.56
1976-09-30,1997.2664
1976-10-31,1089.9489
1976-11-30,524.42255
1976-12-31,289.9359
1977-01-31,212.63919
1977-02-28,203.8813
1977-03-31,290.54193
1977-04-30,596.1945
1977-05-31,859.15955
1977-06-30,967.20197
1977-07-31,800.5142
1977-08-31,706.7588
1977-09-30,650.23285
1977-10-31,537.72266
1977-11-30,333.46783
1977-12-31,189.18903
1978-01-31,127.3584
1978-02-28,140.31708
1978-03-31,196.887
1978-04-30,468.5305
1978-05-31,551.7798
1978-06-30,762.5524
1978-07-31,572.26
1978-08-31,1058.5101
1978-09-30,1751.3307
1978-10-31,1028.89
1978-11-30,531.8593
1978-12-31,257.38193
1979-01-31,194.99245
1979-02-28,179.92479
1979-03-31,220.72278
1979-04-30,391.68387
1979-05-31,403.5102
1979-06-30,466.4249
1979-07-31,1112.4941
1979-08-31,1736.9409
1979-09-30,1673.035
1979-10-31,963.1024
1979-11-30,442.22726
1979-12-31,248.22581
1980-01-31,173.7936
1980-02-29,171.64697
1980-03-31,236.7166
1980-04-30,329.70367
1980-05-31,364.30603
1980-06-30,619.26996
1980-07-31,1351.8135
1980-08-31,957.30054
1980-09-30,1410.6752
1980-10-31,1133.5813
1980-11-30,494.17032
1980-12-31,231.82732
1981-01-31,173.16399
1981-02-28,175.41095
