date,E-XGB
1961-01-31,218.5868
1961-02-28,206.5987
1961-03-31,247.05128
1961-04-30,508.63095
1961-05-31,552.0852
1961-06-30,840.26385
1961-07-31,1613.8997
1961-08-31,1161.7314
1961-09-30,1171.916
1961-10-31,1392.327
1961-11-30,782.3159
1961-12-31,365.50922
1962-01-31,204.98386
1962-02-28,214.52737
1962-03-31,243.14285
1962-04-30,466.4799
1962-05-31,629.9657
1962-06-30,1089.3529
1962-07-31,1564.3256
1962-08-31,1201.9231
1962-09-30,782.59186
1962-10-31,883.6592
1962-11-30,575.7364
1962-12-31,319.977
1963-01-31,222.99922
1963-02-28,231.65646
1963-03-31,251.26807
1963-04-30,393.8413
1963-05-31,515.7737
1963-06-30,822.8355
1963-07-31,1684.102
1963-08-31,1407.5278
1963-09-30,2389.876
1963-10-31,1930.3226
1963-11-30,679.29877
1963-12-31,323.40427
1964-01-31,253.565
1964-02-29,232.49811
1964-03-31,261.85477
1964-04-30,448.12262
1964-05-31,573.8974
1964-06-30,760.54865
1964-07-31,1988.6974
1964-08-31,1410.7968
1964-09-30,1709.9446
1964-10-31,1546.0009
1964-11-30,674.9924
1964-12-31,345.20767
1965-01-31,275.7541
1965-02-28,239.473
1965-03-31,243.66147
1965-04-30,450.5079
1965-05-31,707.68726
1965-06-30,973.02185
1965-07-31,1665.8629
1965-08-31,995.4434
1965-09-30,1070.9403
1965-10-31,936.246
1965-11-30,502.85602
1965-12-31,345.45386
1966-01-31,202.54878
1966-02-28,224.68156
1966-03-31,278.45914
1966-04-30,386.33154
1966-05-31,485.1339
1966-06-30,530.83746
1966-07-31,1183.6033
1966-08-31,1834.5505
1966-09-30,2133.9812
1966-10-31,1485.8585
1966-11-30,631.0388
1966-12-31,278.25488
1967-01-31,244.64201
1967-02-28,224.68156
1967-03-31,217.7034
1967-04-30,398.17148
1967-05-31,990.52496
1967-06-30,1186.6652
1967-07-31,1952.4486
1967-08-31,1585.0903
1967-09-30,2558.7434
1967-10-31,1574.0206
1967-11-30,774.25464
1967-12-31,349.18204
1968-01-31,278.58978
1968-02-29,238.4707
1968-03-31,284.37506
1968-04-30,433.29056
1968-05-31,954.7566
1968-06-30,1010.38873
1968-07-31,1317.3234
1968-08-31,1033.8484
1968-09-30,1987.5492
1968-10-31,1234.2029
1968-11-30,608.9934
1968-12-31,352.1642
1969-01-31,238.15077
1969-02-28,224.68156
1969-03-31,244.71478
1969-04-30,324.22818
1969-05-31,542.5735
1969-06-30,760.17535
1969-07-31,1251.0529
1969-08-31,1005.25806
1969-09-30,808.78613
1969-10-31,806.8161
1969-11-30,486.8909
1969-12-31,273.33154
1970-01-31,202.54878
1970-02-28,210.14647
1970-03-31,183.58044
1970-04-30,299.66357
1970-05-31,573.18414
1970-06-30,686.6668
1970-07-31,834.3155
1970-08-31,1188.7512
1970-09-30,757.50323
1970-10-31,835.1922
1970-11-30,379.43997
1970-12-31,228.36717
1971-01-31,222.99922
1971-02-28,213.01758
1971-03-31,272.5331
1971-04-30,436.5167
1971-05-31,559.6248
1971-06-30,682.1783
1971-07-31,717.2826
1971-08-31,659.3388
1971-09-30,1425.1487
1971-10-31,1709.7864
1971-11-30,609.163
1971-12-31,294.8924
1972-01-31,242.52481
1972-02-29,209.75415
1972-03-31,304.6784
1972-04-30,390.60767
1972-05-31,730.9695
1972-06-30,1013.2677
1972-07-31,1906.5964
1972-08-31,1142.2073
1972-09-30,953.49536
1972-10-31,726.9044
1972-11-30,388.55188
1972-12-31,228.59119
1973-01-31,217.08388
1973-02-28,217.08388
1973-03-31,222.72217
1973-04-30,300.29633
1973-05-31,550.3144
1973-06-30,911.78284
1973-07-31,926.858
1973-08-31,918.2604
1973-09-30,993.966
1973-10-31,1029.8623
1973-11-30,592.8237
1973-12-31,302.1399
1974-01-31,204.05171
1974-02-28,203.72758
1974-03-31,205.45456
1974-04-30,369.7154
1974-05-31,613.024
1974-06-30,831.0003
1974-07-31,972.2679
1974-08-31,995.2204
1974-09-30,1432.1069
1974-10-31,1087.2454
1974-11-30,685.9168
1974-12-31,316.48068
1975-01-31,216.90446
1975-02-28,209.75415
1975-03-31,239.7124
1975-04-30,365.04922
1975-05-31,655.8379
1975-06-30,1184.496
1975-07-31,2221.466
1975-08-31,1769.7554
1975-09-30,1646.3011
1975-10-31,1960.9963
1975-11-30,825.9553
1975-12-31,321.38995
1976-01-31,184.31456
1976-02-29,231.65646
1976-03-31,244.59082
1976-04-30,433.707
1976-05-31,683.04816
1976-06-30,1168.3945
1976-07-31,1487.7284
1976-08-31,1849.0393
1976-09-30,2106.5762
1976-10-31,1051.1184
1976-11-30,517.92596
1976-12-31,320.46735
1977-01-31,217.96301
1977-02-28,224.68156
1977-03-31,251.80568
1977-04-30,506.10468
1977-05-31,817.5877
1977-06-30,1017.2693
1977-07-31,875.0522
1977-08-31,754.36755
1977-09-30,715.43933
1977-10-31,620.34357
1977-11-30,420.21045
1977-12-31,332.02954
1978-01-31,207.89897
1978-02-28,209.75415
1978-03-31,222.6885
1978-04-30,406.45523
1978-05-31,649.3321
1978-06-30,857.824
1978-07-31,745.90424
1978-08-31,1073.7667
1978-09-30,1930.3755
1978-10-31,1201.8822
1978-11-30,630.0153
1978-12-31,279.3259
1979-01-31,247.47025
1979-02-28,217.5707
1979-03-31,221.54437
1979-04-30,409.81046
1979-05-31,530.8166
1979-06-30,690.2056
1979-07-31,1158.8363
1979-08-31,1893.2928
1979-09-30,1726.6583
1979-10-31,999.8444
1979-11-30,546.5739
1979-12-31,233.4862
1980-01-31,242.28363
1980-02-29,206.5987
1980-03-31,213.01758
1980-04-30,360.52112
1980-05-31,554.0398
1980-06-30,668.2457
1980-07-31,1252.643
1980-08-31,1060.4354
1980-09-30,1449.2363
1980-10-31,1251.4962
1980-11-30,567.14606
1980-12-31,255.62753
1981-01-31,202.54878
1981-02-28,206.5987
1981-03-31,213.01758
1981-04-30,307.88107
1981-05-31,541.07587
1981-06-30,867.94763
1981-07-31,1591.2247
1981-08-31,1052.829
1981-09-30,2956.3464
1981-10-31,1725.0238
1981-11-30,648.0307
1981-12-31,294.20404
1982-01-31,225.11368
1982-02-28,239.473
1982-03-31,243.14285
1982-04-30,360.7415
1982-05-31,810.06085
1982-06-30,1405.2253
1982-07-31,1743.8997
1982-08-31,1016.3929
1982-09-30,1686.2252
1982-10-31,1696.665
1982-11-30,638.49817
1982-12-31,266.45078
1983-01-31,224.1487
1983-02-28,203.72758
1983-03-31,266.6288
1983-04-30,447.88116
1983-05-31,741.80133
1983-06-30,1165.7474
1983-07-31,2440.092
1983-08-31,1818.9503
1983-09-30,1098.9376
1983-10-31,1774.1323
1983-11-30,861.1697
1983-12-31,357.76978
1984-01-31,204.14221
1984-02-29,226.80672
1984-03-31,270.34595
1984-04-30,426.48416
1984-05-31,611.45624
1984-06-30,939.0591
1984-07-31,2363.5625
1984-08-31,1549.4657
1984-09-30,843.08636
1984-10-31,1026.5607
1984-11-30,590.3298
1984-12-31,270.56122
1985-01-31,204.14221
1985-02-28,238.4707
1985-03-31,257.03125
1985-04-30,372.06036
1985-05-31,556.32855
1985-06-30,790.7594
1985-07-31,1389.6577
1985-08-31,1093.7183
1985-09-30,2302.91
