date,R-XGB
1961-01-31,174.96495
1961-02-28,168.86836
1961-03-31,239.9832
1961-04-30,475.2676
1961-05-31,674.82745
1961-06-30,830.4068
1961-07-31,1695.3352
1961-08-31,1102.8451
1961-09-30,1079.3966
1961-10-31,1315.3191
1961-11-30,755.0486
1961-12-31,291.46317
1962-01-31,196.53166
1962-02-28,191.49428
1962-03-31,209.34903
1962-04-30,400.87018
1962-05-31,576.458
1962-06-30,1130.2041
1962-07-31,1492.0409
1962-08-31,1227.6606
1962-09-30,698.4594
1962-10-31,728.1755
1962-11-30,462.87576
1962-12-31,216.25537
1963-01-31,141.97327
1963-02-28,144.35455
1963-03-31,211.59988
1963-04-30,285.1814
1963-05-31,465.6052
1963-06-30,676.26416
1963-07-31,1549.4279
1963-08-31,1220.9089
1963-09-30,2396.3894
1963-10-31,1622.6886
1963-11-30,573.23364
1963-12-31,263.0907
1964-01-31,203.75694
1964-02-29,193.42682
1964-03-31,250.25662
1964-04-30,405.70355
1964-05-31,585.70593
1964-06-30,623.79456
1964-07-31,1807.2153
1964-08-31,1412.173
1964-09-30,1413.8568
1964-10-31,1232.3652
1964-11-30,590.7583
1964-12-31,279.6313
1965-01-31,198.04176
1965-02-28,205.66052
1965-03-31,226.70816
1965-04-30,353.09918
1965-05-31,584.6663
1965-06-30,869.056
1965-07-31,1501.7596
1965-08-31,795.4132
1965-09-30,998.7171
1965-10-31,824.0692
1965-11-30,413.88022
1965-12-31,208.81352
1966-01-31,173.3916
1966-02-28,166.7885
1966-03-31,228.00446
1966-04-30,315.1389
1966-05-31,369.57312
1966-06-30,450.13977
1966-07-31,1056.1815
1966-08-31,1739.8314
1966-09-30,1998.4996
1966-10-31,1441.7288
1966-11-30,601.21063
1966-12-31,282.17545
1967-01-31,205.76521
1967-02-28,194.62022
1967-03-31,252.64053
1967-04-30,346.1745
1967-05-31,1107.5311
1967-06-30,1175.6205
1967-07-31,2025.3015
1967-08-31,1653.7626
1967-09-30,2393.2913
1967-10-31,1552.7126
1967-11-30,810.2808
1967-12-31,352.70306
1968-01-31,254.47508
1968-02-29,229.1963
1968-03-31,307.31458
1968-04-30,500.45123
1968-05-31,1178.9166
1968-06-30,1153.6459
1968-07-31,1405.3788
1968-08-31,982.7531
1968-09-30,2111.8933
1968-10-31,1219.6022
1968-11-30,559.6955
1968-12-31,316.46915
1969-01-31,234.82256
1969-02-28,211.8797
1969-03-31,255.31726
1969-04-30,331.09247
1969-05-31,503.83572
1969-06-30,650.03046
1969-07-31,1131.1484
1969-08-31,791.4073
1969-09-30,708.3816
1969-10-31,841.67206
1969-11-30,384.35846
1969-12-31,193.06789
1970-01-31,145.44215
1970-02-28,145.13678
1970-03-31,191.46504
1970-04-30,365.48
1970-05-31,558.7088
1970-06-30,673.86206
1970-07-31,756.6885
1970-08-31,1180.6719
1970-09-30,575.76086
1970-10-31,625.0963
1970-11-30,349.0221
1970-12-31,178.29672
1971-01-31,142.08083
1971-02-28,139.52829
1971-03-31,199.611
1971-04-30,332.0707
1971-05-31,479.2633
1971-06-30,630.45264
1971-07-31,737.5561
1971-08-31,673.26556
1971-09-30,1324.9075
1971-10-31,1804.122
1971-11-30,713.7402
1971-12-31,309.58582
1972-01-31,213.13258
1972-02-29,211.62703
1972-03-31,283.58527
1972-04-30,444.2192
1972-05-31,725.00757
1972-06-30,1067.6532
1972-07-31,1903.485
1972-08-31,1065.8843
1972-09-30,774.7285
1972-10-31,658.80725
1972-11-30,363.47162
1972-12-31,214.6098
1973-01-31,175.98453
1973-02-28,170.67754
1973-03-31,224.5757
1973-04-30,289.66156
1973-05-31,561.11914
1973-06-30,1053.4469
1973-07-31,912.57776
1973-08-31,891.01324
1973-09-30,999.73004
1973-10-31,1036.6522
1973-11-30,535.0783
1973-12-31,246.79964
1974-01-31,165.63052
1974-02-28,175.96992
1974-03-31,222.84592
1974-04-30,305.48874
1974-05-31,488.06967
1974-06-30,901.0008
1974-07-31,896.4474
1974-08-31,989.09106
1974-09-30,1359.1234
1974-10-31,972.4563
1974-11-30,588.66486
1974-12-31,276.85254
1975-01-31,179.48564
1975-02-28,182.1982
1975-03-31,232.98792
1975-04-30,317.59326
1975-05-31,682.3353
1975-06-30,1145.5814
1975-07-31,2340.3906
1975-08-31,1830.7318
1975-09-30,1691.234
1975-10-31,1957.383
1975-11-30,877.66144
1975-12-31,384.3176
1976-01-31,242.11931
1976-02-29,252.79723
1976-03-31,328.86832
1976-04-30,450.24286
1976-05-31,639.24854
1976-06-30,1169.5121
1976-07-31,1467.3347
1976-08-31,1909.4487
1976-09-30,1978.025
1976-10-31,1083.7382
1976-11-30,534.52234
1976-12-31,290.83765
1977-01-31,216.40822
1977-02-28,203.15787
1977-03-31,291.68503
1977-04-30,614.2128
1977-05-31,863.0193
1977-06-30,968.11975
1977-07-31,805.57166
1977-08-31,715.53296
1977-09-30,653.64215
1977-10-31,538.04565
1977-11-30,332.01688
1977-12-31,187.00275
1978-01-31,133.06612
1978-02-28,141.92244
1978-03-31,194.656
1978-04-30,474.8449
1978-05-31,555.70087
1978-06-30,762.2439
1978-07-31,601.7065
1978-08-31,1141.6536
1978-09-30,1745.7706
1978-10-31,1030.597
1978-11-30,528.10645
1978-12-31,256.15228
1979-01-31,191.22061
1979-02-28,175.08527
1979-03-31,219.58296
1979-04-30,385.66403
1979-05-31,406.22308
1979-06-30,472.19727
1979-07-31,1110.8942
1979-08-31,1737.1234
1979-09-30,1668.8567
1979-10-31,971.6783
1979-11-30,443.90335
1979-12-31,248.51947
1980-01-31,173.31816
1980-02-29,171.40222
1980-03-31,239.5861
1980-04-30,329.41272
1980-05-31,365.5387
1980-06-30,618.7964
1980-07-31,1346.1659
1980-08-31,955.1804
1980-09-30,1394.4839
1980-10-31,1140.6843
1980-11-30,489.34482
1980-12-31,223.67589
1981-01-31,173.65761
1981-02-28,173.05956
1981-03-31,206.4922
1981-04-30,339.5017
1981-05-31,584.0721
1981-06-30,1060.1787
1981-07-31,1631.5876
1981-08-31,1037.1633
1981-09-30,2700.4475
1981-10-31,1679.6975
1981-11-30,730.3085
1981-12-31,351.86963
1982-01-31,250.93008
