date,R-XGB
1961-01-31,215.20207
1961-02-28,208.1374
1961-03-31,278.29965
1961-04-30,509.0773
1961-05-31,694.28613
1961-06-30,850.2974
1961-07-31,1736.686
1961-08-31,1197.4966
1961-09-30,1255.5251
1961-10-31,1475.31
1961-11-30,858.3662
1961-12-31,352.80545
1962-01-31,248.94173
1962-02-28,238.03656
1962-03-31,275.538
1962-04-30,444.23553
1962-05-31,624.7861
1962-06-30,1151.7822
1962-07-31,1509.6338
1962-08-31,1258.4186
1962-09-30,764.5779
1962-10-31,768.6414
1962-11-30,504.45172
1962-12-31,267.51352
1963-01-31,181.25642
1963-02-28,185.47197
1963-03-31,241.1207
1963-04-30,321.6544
1963-05-31,510.3981
1963-06-30,708.83514
1963-07-31,1640.4309
1963-08-31,1314.9557
1963-09-30,2483.3372
1963-10-31,1775.907
1963-11-30,670.64703
1963-12-31,334.29626
1964-01-31,240.27417
1964-02-29,245.93442
1964-03-31,306.54974
1964-04-30,479.65747
1964-05-31,659.9512
1964-06-30,711.5293
1964-07-31,1975.4087
1964-08-31,1495.9191
1964-09-30,1592.5665
1964-10-31,1349.0367
1964-11-30,655.46136
1964-12-31,335.45544
1965-01-31,238.62865
1965-02-28,252.2497
1965-03-31,277.2655
1965-04-30,416.14728
1965-05-31,663.4808
1965-06-30,935.982
1965-07-31,1564.4565
1965-08-31,848.4438
1965-09-30,1049.2407
1965-10-31,871.357
1965-11-30,444.6606
1965-12-31,220.15222
1966-01-31,188.59685
1966-02-28,182.11072
1966-03-31,243.90488
1966-04-30,330.21872
1966-05-31,399.67276
1966-06-30,474.02686
1966-07-31,1045.2488
1966-08-31,1765.7815
1966-09-30,2048.631
1966-10-31,1466.237
1966-11-30,633.9411
1966-12-31,324.8308
1967-01-31,239.47153
1967-02-28,218.37956
1967-03-31,274.039
1967-04-30,382.88818
1967-05-31,1134.1962
1967-06-30,1206.6722
1967-07-31,2106.3044
1967-08-31,1728.494
1967-09-30,2538.2593
1967-10-31,1650.2521
1967-11-30,834.71954
